Month,DayofMonth,DayOfWeek,FlightDate,AirlineID,Carrier,FlightNum,Origin,Dest,CRSDepTime,DepTime,DepDelay,DepDelayMinutes,DepDel15,TaxiOut,WheelsOff,WheelsOn,TaxiIn,CRSArrTime,ArrTime,ArrDelay,ArrDelayMinutes,ArrDel15,Cancelled,Diverted,ActualElapsedTime,AirTime,Distance,departure,arrival,origin_airport_code,departureDelay,lon_origin,lat_origin,dest_airport_code,arrivalDelay,lon_dest,lat_dest,Year,id
4,15,2,2008-04-15,19790,DL,885,ATL,LAX,1440,1441,1.00,1.00,0,23.00,1504,1620,5.00,1625,1625,0.00,0.00,0,0,0,284.00,256.00,1946.00,1,1,ATL,10.634748,-84.43,33.64,LAX,6.927546,-118.41,33.94,2008,-1682911644
4,27,7,2008-04-27,19790,DL,875,ATL,LAX,2010,2044,34.00,34.00,1,20.00,2104,2213,15.00,2209,2228,19.00,19.00,1,0,0,284.00,249.00,1946.00,1,1,ATL,10.634748,-84.43,33.64,LAX,6.927546,-118.41,33.94,2008,1436821044
4,5,6,2008-04-05,19790,DL,41,ATL,LAX,1915,1943,28.00,28.00,1,15.00,1958,2120,7.00,2118,2127,9.00,9.00,0,0,0,284.00,262.00,1946.00,1,1,ATL,10.634748,-84.43,33.64,LAX,6.927546,-118.41,33.94,2008,733204913
4,26,6,2008-04-26,19790,DL,1556,ATL,LAX,700,656,-4.00,0.00,0,11.00,707,853,5.00,850,858,8.00,8.00,0,0,0,302.00,286.00,1946.00,1,1,ATL,10.634748,-84.43,33.64,LAX,6.927546,-118.41,33.94,2008,-1416704512
5,31,6,2008-05-31,19805,AA,267,MIA,LAX,1610,1616,6.00,6.00,0,28.00,1644,1853,6.00,1845,1859,14.00,14.00,0,0,0,343.00,309.00,2342.00,1,1,MIA,9.350676,-80.29,25.79,LAX,6.927546,-118.41,33.94,2008,2094395650
4,28,1,2008-04-28,19790,DL,75,ATL,LAX,1705,1705,0.00,0.00,0,25.00,1730,1850,8.00,1857,1858,1.00,1.00,0,0,0,293.00,260.00,1946.00,1,1,ATL,10.634748,-84.43,33.64,LAX,6.927546,-118.41,33.94,2008,2103771636
4,27,7,2008-04-27,19790,DL,885,ATL,LAX,1440,1445,5.00,5.00,0,17.00,1502,1615,11.00,1625,1626,1.00,1.00,0,0,0,281.00,253.00,1946.00,1,1,ATL,10.634748,-84.43,33.64,LAX,6.927546,-118.41,33.94,2008,1614497344
4,27,7,2008-04-27,20437,FL,40,ATL,LAX,1759,1758,-1.00,0.00,0,19.00,1817,1940,9.00,1959,1949,-10.00,0.00,0,0,0,291.00,263.00,1946.00,1,1,ATL,10.634748,-84.43,33.64,LAX,6.927546,-118.41,33.94,2008,-1444539925
4,4,5,2008-04-04,19790,DL,125,ATL,LAX,1600,1704,64.00,64.00,1,9.00,1713,1838,13.00,1745,1851,66.00,66.00,1,0,0,287.00,265.00,1946.00,1,1,ATL,10.634748,-84.43,33.64,LAX,6.927546,-118.41,33.94,2008,-581221142
5,6,2,2008-05-06,19805,AA,972,MIA,LAX,2105,2105,0.00,0.00,0,13.00,2118,2338,12.00,2345,2350,5.00,5.00,0,0,0,345.00,320.00,2342.00,1,1,MIA,9.350676,-80.29,25.79,LAX,6.927546,-118.41,33.94,2008,-2002006207
4,19,6,2008-04-19,19790,DL,937,ATL,LAX,1110,1107,-3.00,0.00,0,24.00,1131,1315,8.00,1255,1323,28.00,28.00,1,0,0,316.00,284.00,1946.00,1,1,ATL,10.634748,-84.43,33.64,LAX,6.927546,-118.41,33.94,2008,1180115650
4,27,7,2008-04-27,19790,DL,35,ATL,LAX,950,947,-3.00,0.00,0,30.00,1017,1126,5.00,1140,1131,-9.00,0.00,0,0,0,284.00,249.00,1946.00,1,1,ATL,10.634748,-84.43,33.64,LAX,6.927546,-118.41,33.94,2008,-1780605356
